mukey,FirstOfslopegradwta,FirstOfbrockdepmin,SumOfksat_weight1,SumOfsand_weight1,SumOfsilt_weight1,SumOfclay_weight1,SumOffieldcap_weight1,SumOfwiltpt_weight1,SumOfmaxdepth_weight,texture,texdesc,texcl
281386,20,,9.59945617,61.5428,36.09884286,2.358357143,12.71615294,4.513629494,98.89,FSL,Fine sandy loam,Fine sandy loam
281387,12,46,14.1888235,47.85275093,32.83737121,4.770061482,21.44239521,8.687110583,61.18,FSL,Fine sandy loam,Fine sandy loam
281388,19.70000076,46,14.31962498,48.29488382,32.31733876,4.649534844,21.35152078,8.739672994,62.47,FSL,Fine sandy loam,Fine sandy loam
281389,44.70000076,46,14.5456748,49.06411511,31.76972484,4.66748267,21.48389426,8.849997779,61.39,FSL,Fine sandy loam,Fine sandy loam
281395,48,20,10.64075794,40.62199942,36.62300064,12.755,20.1155642,7.638223446,34.23,CNV-SIL,Very channery silt loam,Silt loam
281408,4,,105.87148,84.12975,11.8885,0.88175,8.50154987,2.60499997,100,LS,Loamy sand,Loamy sand
281409,9.899999619,,114.27296,83.6555,12.2955,0.999,10.18109993,3.435849943,100,LS,Loamy sand,Loamy sand
281411,38.79999924,,114.31796,84.683,11.2515,0.8655,8.270749887,2.521449976,100,LS,Loamy sand,Loamy sand
281417,1,,13.63893012,33.97392038,61.03698134,4.9891,18.20059033,4.608280011,100,SIL,Silt loam,Silt loam
281419,57.5,71,15.44664874,52.02735242,32.01337936,3.217382119,19.15295801,7.668352791,79.64,FSL,Fine sandy loam,Fine sandy loam
281422,1,,19.92402395,56.34394979,37.35215051,6.3039,50.98937007,13.24851001,100,MUCK,Muck,
281424,1,,21.34055344,67.62324993,27.02175006,5.355,74.41374999,18.16470002,100,MUCK,Muck,
281426,5,,13.19870004,26.93250015,65.88925076,9.87825,22.11049993,6.624950098,100,SIL,Silt loam,Silt loam
281429,1,,6.148863258,16.68730046,74.25770042,9.055,19.13015,7.137250016,100,SI,Silt,Silt
281432,5,,99.2983129,80.88447928,14.56281968,4.5527,10.73407987,4.998930001,100,S,Sand,Sand
281434,1,,314.3236026,10.57447983,3.664119974,0.7614,1.741210008,0.666480002,100,VAR,Variable,
281436,1,,28.93480224,64.00609745,29.65689942,6.337,16.23725035,6.347900076,100,FSL,Fine sandy loam,Fine sandy loam
281455,1,,31.89326758,61.85539019,34.53610996,3.6085,13.58113995,4.555229948,100,FSL,Fine sandy loam,Fine sandy loam
281457,5,,16.38579984,76.92244855,59.17579967,12.50175,32.13509983,9.474850003,100,SR- VFSL SIL,Stratified very fine sandy loam to silt loam,Very fine sandy loam
281463,1,,73.85859071,75.51124863,16.57850034,7.91025,10.90569989,4.836149999,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281465,5,,73.85859071,75.51124863,16.57850034,7.91025,10.90569989,4.836149999,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281467,10.39999962,,73.85859071,75.51124863,16.57850034,7.91025,10.90569989,4.836149999,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281469,18.5,,73.85859071,75.51124863,16.57850034,7.91025,10.90569989,4.836149999,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281471,39.20000076,,73.85859071,75.51124863,16.57850034,7.91025,10.90569989,4.836149999,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281474,6.199999809,,8.976776936,61.01188936,32.64865978,6.33945,30.0930399,9.189060094,100,FSL,Fine sandy loam,Fine sandy loam
281477,19,71,14.93453059,52.01884752,31.47256167,2.776600612,17.69475247,6.9258845,82.62,FSL,Fine sandy loam,Fine sandy loam
281480,5,46,10.87476274,43.23441547,44.42760738,12.33797715,20.21562359,7.391460445,82.12121212,L,Loam,Loam
281481,11,46,10.87476274,43.23441547,44.42760738,12.33797715,20.21562359,7.391460445,82.12121212,L,Loam,Loam
281482,19.60000038,46,13.1556441,44.07720751,47.67166094,13.12191638,26.6360695,9.664599715,84.8989899,L,Loam,Loam
281484,23.5,,8.475673549,50.08597428,40.25823209,2.727747091,16.02457855,5.491201483,97.22,FSL,Fine sandy loam,Fine sandy loam
281486,11,46,12.26363962,40.15924699,48.40006849,14.7086585,30.9285101,11.12926998,69.3,L,Loam,Loam
281487,19.5,46,12.26363962,40.15924699,48.40006849,14.7086585,30.9337601,11.13346998,69.3,L,Loam,Loam
281488,36.5,46,12.44166284,40.28760693,48.35715852,14.6232085,30.71653009,11.06599998,69.3,L,Loam,Loam
281491,11,30,9.307316398,32.85828918,51.47080316,17.08,14.98891969,6.02394951,65.18,CNV-SIL,Very channery silt loam,Silt loam
281492,20,33,10.34786371,32.85828918,51.47080316,17.08,18.37376935,7.245266133,67.85,CNV-SIL,Very channery silt loam,Silt loam
281493,42.29999924,33,10.39115916,32.85828918,51.47080316,17.08,18.51013299,7.290038862,67.85,CNV-SIL,Very channery silt loam,Silt loam
281494,11,33,10.07912061,31.77428916,49.2948031,16.34,18.27192541,7.198737752,57.38,CNV-SIL,Very channery silt loam,Silt loam
281495,20,33,10.07912061,31.77428916,49.2948031,16.34,18.27192541,7.198737752,57.38,CNV-SIL,Very channery silt loam,Silt loam
281496,42.29999924,33,10.12241607,31.77428916,49.2948031,16.34,18.40828904,7.243510481,57.38,CNV-SIL,Very channery silt loam,Silt loam
281497,5,,8.828792196,45.53703876,46.65796137,7.805,15.20703232,4.155889254,97.54,CN-L,Channery loam,Loam
281498,11,,8.828792196,45.53703876,46.65796137,7.805,15.20703232,4.155889254,97.54,CN-L,Channery loam,Loam
281499,20,,8.828792196,45.53703876,46.65796137,7.805,15.20637298,4.155449694,97.54,CN-L,Channery loam,Loam
281508,11,,9.781116681,45.56043876,46.63456138,7.805,18.25634983,5.312054468,97.75,CN-L,Channery loam,Loam
281509,20,,9.781116681,45.56043876,46.63456138,7.805,18.25571154,5.311628936,97.75,CN-L,Channery loam,Loam
281510,41.20000076,,9.781116681,45.56043876,46.63456138,7.805,18.25571154,5.311628936,97.75,CN-L,Channery loam,Loam
281511,5,,6.020441136,40.8762998,51.31870033,7.805,17.36040221,5.249389294,97.54,L,Loam,Loam
281512,11,,6.020441136,40.8762998,51.31870033,7.805,17.36040221,5.249389294,97.54,L,Loam,Loam
281513,20,,6.020441136,40.8762998,51.31870033,7.805,17.35974287,5.248949734,97.54,L,Loam,Loam
281517,11,,6.667755265,40.89969979,51.29530034,7.805,19.22348985,5.9422345,97.75,L,Loam,Loam
281518,20,,6.667755265,40.89969979,51.29530034,7.805,19.22285156,5.941808969,97.75,L,Loam,Loam
281522,4.800000191,,4.517185745,37.86460083,54.59669925,7.5387,18.90420199,5.523789243,99.64,SIL,Silt loam,Silt loam
281524,4.800000191,,5.668204744,38.3618507,54.09944938,7.5387,21.44025203,6.573539296,99.64,SIL,Silt loam,Silt loam
281526,1,,6.502606279,41.17574912,49.30275098,9.5215,20.91146812,6.931319295,99.7,CN-L,Channery loam,Loam
281533,5,,6.609911243,45.32470508,43.31517379,11.36012105,20.83570087,7.530868454,99.28,L,Loam,Loam
281534,11,,6.609911243,45.32470508,43.31517379,11.36012105,20.83570087,7.530868454,99.28,L,Loam,Loam
281535,19.70000076,,6.609911243,45.32470508,43.31517379,11.36012105,20.83570087,7.530868454,99.28,L,Loam,Loam
281537,11,,7.255497555,45.34221151,43.45354211,11.38943148,22.64497308,8.142631844,99.43,L,Loam,Loam
281538,19.70000076,,7.255497555,45.34221151,43.45354211,11.38943148,22.64812308,8.145151845,99.43,L,Loam,Loam
281540,1,,7.011894696,36.36623079,51.3660741,12.26769474,22.04866473,8.058177931,99.04,SIL,Silt loam,Silt loam
281541,5,,7.011894696,36.36623079,51.3660741,12.26769474,22.04866473,8.058177931,99.04,SIL,Silt loam,Silt loam
281542,11,,7.011894696,36.36623079,51.3660741,12.26769474,22.04866473,8.058177931,99.04,SIL,Silt loam,Silt loam
281543,19.60000038,,7.011894696,36.36623079,51.3660741,12.26769474,22.04866473,8.058177931,99.04,SIL,Silt loam,Silt loam
281545,5,,7.736206008,36.31709269,51.6230452,12.30677531,23.93388387,8.663439124,99.24,SIL,Silt loam,Silt loam
281546,11,,7.736206008,36.31709269,51.6230452,12.30677531,23.93388387,8.663439124,99.24,SIL,Silt loam,Silt loam
281548,1,,3.570721714,42.34700049,44.95724981,12.69575,21.69834981,8.178350036,100,L,Loam,Loam
281549,4.800000191,,3.570721714,42.34700049,44.95724981,12.69575,21.69834981,8.178350036,100,L,Loam,Loam
281550,1,,4.890052913,41.55515047,45.63159991,12.81325,24.52005008,9.221000119,100,L,Loam,Loam
281551,4.800000191,,4.890052913,41.55515047,45.63159991,12.81325,24.52005008,9.221000119,100,L,Loam,Loam
281553,43,43,11.09159417,64.3451415,24.12879079,6.526065574,19.40059461,7.671977661,53.51,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281556,11,,8.078477671,66.43348742,27.06031233,6.5062,18.70530559,7.433551452,99.26,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281559,24.60000038,63,9.956032163,68.99528452,23.53971399,6.465,18.88471424,7.432519766,77.31,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281563,1,,91.53276054,76.44124977,19.99849999,3.56025,7.26445001,2.364150014,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281565,5,,91.53276054,76.44124977,19.99849999,3.56025,7.26445001,2.364150014,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281567,10.39999962,,91.53276054,76.44124977,19.99849999,3.56025,7.26445001,2.364150014,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281569,18.5,,91.53276054,76.44124977,19.99849999,3.56025,7.26445001,2.364150014,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281571,39.20000076,,91.53276054,76.44124977,19.99849999,3.56025,7.26445001,2.364150014,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281572,24.5,63,10.06141111,69.32308819,23.21031014,6.4666,18.30373723,7.189012193,84.14,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281573,1,,47.86176214,78.19908127,15.2127204,6.5882,11.20743002,4.842639988,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281574,5,,47.86176214,78.19908127,15.2127204,6.5882,11.20743002,4.842639988,100,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281577,1,,40.47502818,62.36899898,28.41425006,9.84675,17.18898992,6.662630016,100,GRV-COS,Very gravelly coarse sand,Coarse sand
281587,5,,13.32091095,44.76915812,43.89816385,11.3326781,19.73209449,7.425842019,99.67,GR-L,Gravelly loam,Loam
281588,11,,13.32091095,44.76915812,43.89816385,11.3326781,19.73209449,7.425842019,99.67,GR-L,Gravelly loam,Loam
281589,19.60000038,,13.32091095,44.76915812,43.89816385,11.3326781,19.73209449,7.425842019,99.67,GR-L,Gravelly loam,Loam
281591,5,,13.32091095,44.76915812,43.89816385,11.3326781,19.73209449,7.425842019,99.67,GR-L,Gravelly loam,Loam
281592,11,,13.32091095,44.76915812,43.89816385,11.3326781,19.73209449,7.425842019,99.67,GR-L,Gravelly loam,Loam
281593,19.60000038,,13.32091095,44.76915812,43.89816385,11.3326781,19.73209449,7.425842019,99.67,GR-L,Gravelly loam,Loam
281594,33.29999924,,13.32091095,44.76915812,43.89816385,11.3326781,19.73209449,7.425842019,99.67,GR-L,Gravelly loam,Loam
281595,1,,5.953300421,44.35638065,44.08512459,11.55849474,18.96957469,7.532897868,99.04,SIL,Silt loam,Silt loam
281596,5,,5.953300421,44.35638065,44.08512459,11.55849474,18.96957469,7.532897868,99.04,SIL,Silt loam,Silt loam
281597,11,,5.91285793,44.43024066,44.00476459,11.56499474,18.96628469,7.534557868,99.04,SIL,Silt loam,Silt loam
281600,5,,7.375922038,42.84732252,45.80326572,11.59632531,22.22805387,8.578299204,99.24,SIL,Silt loam,Silt loam
281601,11,,7.375922038,42.84732252,45.80326572,11.59632531,22.22385387,8.574939204,99.24,SIL,Silt loam,Silt loam
281608,,0,0.109650002,,,,,,51,VAR,Variable,
281609,52.79999924,43,10.69916485,59.52949422,24.08640511,6.384098361,18.72578825,7.437151856,47.97,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281612,11.80000019,,8.447279857,66.16645129,27.38114854,6.4524,21.24682842,7.941992059,98.89,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281615,20,,13.52644273,70.75159656,23.24425195,6.00415,17.63448595,6.752621441,99.26,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281618,9,,12.3054854,58.21391549,34.45921972,2.067569014,14.0659025,4.794992012,99.13,FSL,Fine sandy loam,Fine sandy loam
281620,32.79999924,,12.1605888,58.09397391,34.71127826,2.203443478,14.31503041,4.827184392,96.76,FSL,Fine sandy loam,Fine sandy loam
281622,43,48,21.0900995,54.96998728,34.4740127,5.555999724,22.97084391,11.16545273,60.64,GR-FSL,Gravelly fine sandy loam,Fine sandy loam
281627,5.300000191,,8.428277875,67.08406752,27.62693236,6.529,20.89348553,7.939661387,99.26,FSL,Fine sandy loam,Fine sandy loam
281632,5,,21.00172593,58.84868446,32.7913927,8.359921053,17.09742793,7.673635127,99.01,FSL,Fine sandy loam,Fine sandy loam
281633,11,,21.00172593,58.84868446,32.7913927,8.359921053,17.16372776,7.739935063,99.01,FSL,Fine sandy loam,Fine sandy loam
281634,20,,21.00172593,58.84868446,32.7913927,8.359921053,17.16323326,7.739605393,99.01,FSL,Fine sandy loam,Fine sandy loam
281635,5,,21.2775816,58.88959089,32.91011102,8.385481481,19.07480368,8.334353163,99.25,FSL,Fine sandy loam,Fine sandy loam
281636,11,,21.2775816,58.88959089,32.91011102,8.385481481,19.07165368,8.331833163,99.25,FSL,Fine sandy loam,Fine sandy loam
