LandisData	Dynamic Input Data				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	18	PICERUBE	0.008	190	5700
0	18	PINURESI	0.175	154	4620
0	18	PINUSTRO	0.094	569	17080
0	18	POPUGRAN	0.088	851	25520
0	18	POPUTREM	0.516	683	20500
0	18	PRUNSERO	0.011	837	25100
0	18	QUERRUBR	0.142	634	19010
0	18	SORBAMER	0.752	334	10010
0	18	TILIAMER	0	1033	30990
0	18	TSUGCANA	0.083	286	8580
0	19	ABIEBALS	0.757	312	9350
0	19	ACERPENS	0.027	698	20930
0	19	ACERRUBR	0.009	568	17050
0	19	ACERSACC	0.035	763	22890
0	19	BETUALLE	0.132	700	21010
0	19	BETUPAPY	0.909	740	22210
0	19	FAGUGRAN	0.006	634	19020
0	19	FRAXAMER	0.007	655	19660
0	19	LARILARI	0.896	40	1190
0	19	PICEMARI	0.935	192	5760
0	19	PICERUBE	0.027	195	5850
0	19	PINURESI	0.218	146	4390
0	19	PINUSTRO	0.114	562	16850
0	19	POPUGRAN	0.096	833	25000
0	19	POPUTREM	0.598	668	20030
0	19	PRUNSERO	0.017	820	24600
0	19	QUERRUBR	0.178	619	18570
0	19	SORBAMER	0.784	343	10280
0	19	TILIAMER	0.008	1015	30440
0	19	TSUGCANA	0.118	294	8810
0	20	ABIEBALS	0.669	327	9810
0	20	ACERPENS	0.009	676	20280
0	20	ACERRUBR	0.002	545	16350
0	20	ACERSACC	0.009	736	22070
0	20	BETUALLE	0.047	674	20230
0	20	BETUPAPY	0.85	712	21370
0	20	FAGUGRAN	0.001	611	18330
0	20	FRAXAMER	0.001	629	18880
0	20	LARILARI	0.821	37	1100
0	20	PICEMARI	0.925	201	6020
0	20	PICERUBE	0.009	204	6120
0	20	PINURESI	0.074	134	4010
0	20	PINUSTRO	0.037	547	16420
0	20	POPUGRAN	0.033	804	24120
0	20	POPUTREM	0.443	641	19230
0	20	PRUNSERO	0.005	791	23720
0	20	QUERRUBR	0.08	596	17890
0	20	SORBAMER	0.698	356	10670
0	20	TILIAMER	0	983	29490
0	20	TSUGCANA	0.054	306	9170
0	21	ABIEBALS	0.836	291	8720
0	21	ACERPENS	0.065	728	21830
0	21	ACERRUBR	0.03	600	17990
0	21	ACERSACC	0.107	802	24050
0	21	BETUALLE	0.277	735	22060
0	21	BETUPAPY	0.918	779	23360
0	21	FAGUGRAN	0.014	666	19970
0	21	FRAXAMER	0.024	692	20750
0	21	LARILARI	0.905	41	1230
0	21	PICEMARI	0.88	180	5390
0	21	PICERUBE	0.065	182	5460
0	21	PINURESI	0.436	168	5040
0	21	PINUSTRO	0.243	585	17560
0	21	POPUGRAN	0.207	875	26240
0	21	POPUTREM	0.694	704	21130
0	21	PRUNSERO	0.053	860	25810
0	21	QUERRUBR	0.296	655	19640
0	21	SORBAMER	0.882	321	9640
0	21	TILIAMER	0.025	1059	31780
0	21	TSUGCANA	0.23	275	8260
0	22	ABIEBALS	0.802	305	9160
0	22	ACERPENS	0.029	705	21160
0	22	ACERRUBR	0.016	577	17310
0	22	ACERSACC	0.053	773	23190
0	22	BETUALLE	0.15	709	21260
0	22	BETUPAPY	0.927	750	22500
0	22	FAGUGRAN	0.005	642	19270
